YEAR,ICD_MAIN_CATEGORY,ICD_DETAILED_CATEGORY,GENDER,DEATH_AGE,DEATH_COUNT
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,50 - 59,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,60 - 64,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,70 - 74,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,80 - 84,3
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,85 - 89,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,90 and Over,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),M,50 - 59,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),M,60 - 64,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),M,65 - 69,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),M,80 - 84,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),M,90 and Over,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-004-Other intestinal infectious diseases(A01-A08),F,20 - 29,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-004-Other intestinal infectious diseases(A01-A08),F,60 - 64,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-004-Other intestinal infectious diseases(A01-A08),F,65 - 69,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-004-Other intestinal infectious diseases(A01-A08),F,75 - 79,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-004-Other intestinal infectious diseases(A01-A08),F,80 - 84,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-004-Other intestinal infectious diseases(A01-A08),F,85 - 89,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-004-Other intestinal infectious diseases(A01-A08),F,90 and Over,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-004-Other intestinal infectious diseases(A01-A08),M,30 - 39,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),F,20 - 29,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),F,70 - 74,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),F,80 - 84,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),F,85 - 89,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),F,90 and Over,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),M,40 - 49,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),M,50 - 59,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),M,65 - 69,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),M,70 - 74,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),M,75 - 79,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),M,80 - 84,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),M,85 - 89,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-005-Respiratory tuberculosis(A15-A16),M,90 and Over,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-006-Other tuberculosis(A17-A19),F,50 - 59,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-006-Other tuberculosis(A17-A19),F,70 - 74,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-006-Other tuberculosis(A17-A19),M,65 - 69,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-006-Other tuberculosis(A17-A19),M,75 - 79,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-006-Other tuberculosis(A17-A19),M,80 - 84,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,30 - 39,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,40 - 49,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,50 - 59,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,60 - 64,3
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,70 - 74,7
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,75 - 79,5
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,80 - 84,12
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,85 - 89,8
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),F,90 and Over,20
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,10-19,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,30 - 39,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,40 - 49,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,5-9,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,50 - 59,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,60 - 64,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,65 - 69,6
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,70 - 74,11
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,75 - 79,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,80 - 84,5
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,85 - 89,5
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-012-Septicaemia(A40-A41),M,90 and Over,5
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",F,70 - 74,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,20 - 29,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,30 - 39,3
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,40 - 49,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,50 - 59,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,60 - 64,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,65 - 69,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,70 - 74,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,75 - 79,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),"1-017-Other arthropod-borne viral fevers and viral haemorrhagic fevers(A90-A94,A96-A99)",M,80 - 84,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-019-Viral hepatitis(B15-B19),M,50 - 59,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-019-Viral hepatitis(B15-B19),M,60 - 64,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-019-Viral hepatitis(B15-B19),M,70 - 74,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-019-Viral hepatitis(B15-B19),M,80 - 84,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-020-Human immunodeficiency virus [HIV] disease(B20-B24),M,40 - 49,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-020-Human immunodeficiency virus [HIV] disease(B20-B24),M,50 - 59,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-020-Human immunodeficiency virus [HIV] disease(B20-B24),M,70 - 74,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,28 DAYS <1 Year,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,50 - 59,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,60 - 64,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,65 - 69,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,70 - 74,8
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,75 - 79,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,80 - 84,9
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,85 - 89,16
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,90 and Over,16
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,F,UNDER 28 DAYS,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,10-19,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,28 DAYS <1 Year,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,30 - 39,1
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,40 - 49,2
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,50 - 59,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,60 - 64,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,65 - 69,4
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,70 - 74,12
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,75 - 79,8
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,80 - 84,7
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,85 - 89,9
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,90 and Over,7
2024,1-001-Certain infection and parasitic diseases(A00-B99),1-025-Remainder of certain infectious and parasitic diseases,M,UNDER 28 DAYS,3
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,30 - 39,2
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,40 - 49,3
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,50 - 59,6
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,60 - 64,1
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,65 - 69,17
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,70 - 74,7
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,75 - 79,9
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,80 - 84,6
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,85 - 89,2
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,90 and Over,4
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",M,30 - 39,1
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",M,40 - 49,3
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",M,50 - 59,21
2024,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",M,60 - 64,22
