period,series,unit,value,month
1961 Jan,All Items,Index,21.071,1961-01-01
1961 Feb,All Items,Index,21.094,1961-02-01
1961 Mar,All Items,Index,21.112,1961-03-01
1961 Apr,All Items,Index,20.77,1961-04-01
1961 May,All Items,Index,20.655,1961-05-01
1961 Jun,All Items,Index,20.801,1961-06-01
1961 Jul,All Items,Index,20.847,1961-07-01
1961 Aug,All Items,Index,21.054,1961-08-01
1961 Sep,All Items,Index,20.948,1961-09-01
1961 Oct,All Items,Index,21.007,1961-10-01
1961 Nov,All Items,Index,21.057,1961-11-01
1961 Dec,All Items,Index,21.024,1961-12-01
1962 Jan,All Items,Index,21.157,1962-01-01
1962 Feb,All Items,Index,21.277,1962-02-01
1962 Mar,All Items,Index,20.972,1962-03-01
1962 Apr,All Items,Index,20.868,1962-04-01
1962 May,All Items,Index,20.884,1962-05-01
1962 Jun,All Items,Index,20.98,1962-06-01
1962 Jul,All Items,Index,21.029,1962-07-01
1962 Aug,All Items,Index,20.966,1962-08-01
1962 Sep,All Items,Index,21.056,1962-09-01
1962 Oct,All Items,Index,21.009,1962-10-01
1962 Nov,All Items,Index,21.145,1962-11-01
1962 Dec,All Items,Index,21.205,1962-12-01
1963 Jan,All Items,Index,21.613,1963-01-01
1963 Feb,All Items,Index,21.771,1963-02-01
1963 Mar,All Items,Index,21.361,1963-03-01
1963 Apr,All Items,Index,21.148,1963-04-01
1963 May,All Items,Index,21.255,1963-05-01
1963 Jun,All Items,Index,21.321,1963-06-01
1963 Jul,All Items,Index,21.263,1963-07-01
1963 Aug,All Items,Index,21.315,1963-08-01
1963 Sep,All Items,Index,21.409,1963-09-01
1963 Oct,All Items,Index,21.917,1963-10-01
1963 Nov,All Items,Index,21.757,1963-11-01
1963 Dec,All Items,Index,21.798,1963-12-01
1964 Jan,All Items,Index,21.93,1964-01-01
1964 Feb,All Items,Index,22.012,1964-02-01
1964 Mar,All Items,Index,21.933,1964-03-01
1964 Apr,All Items,Index,21.639,1964-04-01
1964 May,All Items,Index,21.648,1964-05-01
1964 Jun,All Items,Index,21.583,1964-06-01
1964 Jul,All Items,Index,21.685,1964-07-01
1964 Aug,All Items,Index,22.044,1964-08-01
1964 Sep,All Items,Index,21.985,1964-09-01
1964 Oct,All Items,Index,21.844,1964-10-01
1964 Nov,All Items,Index,21.831,1964-11-01
1964 Dec,All Items,Index,22.046,1964-12-01
1965 Jan,All Items,Index,22.099,1965-01-01
1965 Feb,All Items,Index,22.03,1965-02-01
1965 Mar,All Items,Index,21.887,1965-03-01
1965 Apr,All Items,Index,21.567,1965-04-01
1965 May,All Items,Index,21.737,1965-05-01
1965 Jun,All Items,Index,21.815,1965-06-01
1965 Jul,All Items,Index,21.681,1965-07-01
1965 Aug,All Items,Index,21.814,1965-08-01
1965 Sep,All Items,Index,21.884,1965-09-01
1965 Oct,All Items,Index,21.943,1965-10-01
1965 Nov,All Items,Index,22.098,1965-11-01
1965 Dec,All Items,Index,22.263,1965-12-01
1966 Jan,All Items,Index,22.534,1966-01-01
1966 Feb,All Items,Index,22.326,1966-02-01
1966 Mar,All Items,Index,22.148,1966-03-01
1966 Apr,All Items,Index,22.232,1966-04-01
1966 May,All Items,Index,22.187,1966-05-01
1966 Jun,All Items,Index,22.245,1966-06-01
1966 Jul,All Items,Index,22.331,1966-07-01
1966 Aug,All Items,Index,22.486,1966-08-01
1966 Sep,All Items,Index,22.352,1966-09-01
1966 Oct,All Items,Index,22.224,1966-10-01
1966 Nov,All Items,Index,22.471,1966-11-01
1966 Dec,All Items,Index,22.609,1966-12-01
1967 Jan,All Items,Index,22.92,1967-01-01
1967 Feb,All Items,Index,22.931,1967-02-01
1967 Mar,All Items,Index,22.807,1967-03-01
1967 Apr,All Items,Index,22.448,1967-04-01
1967 May,All Items,Index,22.653,1967-05-01
1967 Jun,All Items,Index,22.913,1967-06-01
1967 Jul,All Items,Index,23.226,1967-07-01
1967 Aug,All Items,Index,23.13,1967-08-01
1967 Sep,All Items,Index,23.317,1967-09-01
1967 Oct,All Items,Index,23.226,1967-10-01
1967 Nov,All Items,Index,23.449,1967-11-01
1967 Dec,All Items,Index,23.659,1967-12-01
1968 Jan,All Items,Index,23.681,1968-01-01
1968 Feb,All Items,Index,23.412,1968-02-01
1968 Mar,All Items,Index,23.327,1968-03-01
1968 Apr,All Items,Index,23.281,1968-04-01
1968 May,All Items,Index,23.024,1968-05-01
1968 Jun,All Items,Index,23.022,1968-06-01
1968 Jul,All Items,Index,23.138,1968-07-01
1968 Aug,All Items,Index,23.324,1968-08-01
1968 Sep,All Items,Index,23.188,1968-09-01
1968 Oct,All Items,Index,23.152,1968-10-01
1968 Nov,All Items,Index,23.101,1968-11-01
1968 Dec,All Items,Index,23.031,1968-12-01
1969 Jan,All Items,Index,23.062,1969-01-01
1969 Feb,All Items,Index,23.029,1969-02-01
1969 Mar,All Items,Index,23.159,1969-03-01
1969 Apr,All Items,Index,23.083,1969-04-01
1969 May,All Items,Index,23.309,1969-05-01
1969 Jun,All Items,Index,23.191,1969-06-01
1969 Jul,All Items,Index,23.112,1969-07-01
1969 Aug,All Items,Index,23.195,1969-08-01
1969 Sep,All Items,Index,23.232,1969-09-01
1969 Oct,All Items,Index,23.061,1969-10-01
1969 Nov,All Items,Index,23.297,1969-11-01
1969 Dec,All Items,Index,23.619,1969-12-01
1970 Jan,All Items,Index,23.287,1970-01-01
1970 Feb,All Items,Index,23.386,1970-02-01
1970 Mar,All Items,Index,23.102,1970-03-01
1970 Apr,All Items,Index,23.14,1970-04-01
1970 May,All Items,Index,23.155,1970-05-01
1970 Jun,All Items,Index,23.12,1970-06-01
1970 Jul,All Items,Index,23.349,1970-07-01
1970 Aug,All Items,Index,23.33,1970-08-01
1970 Sep,All Items,Index,23.291,1970-09-01
1970 Oct,All Items,Index,23.316,1970-10-01
1970 Nov,All Items,Index,23.263,1970-11-01
1970 Dec,All Items,Index,23.42,1970-12-01
1971 Jan,All Items,Index,24.111,1971-01-01
1971 Feb,All Items,Index,23.686,1971-02-01
1971 Mar,All Items,Index,23.575,1971-03-01
1971 Apr,All Items,Index,23.293,1971-04-01
1971 May,All Items,Index,23.541,1971-05-01
1971 Jun,All Items,Index,23.608,1971-06-01
1971 Jul,All Items,Index,23.729,1971-07-01
1971 Aug,All Items,Index,23.615,1971-08-01
1971 Sep,All Items,Index,23.796,1971-09-01
1971 Oct,All Items,Index,23.654,1971-10-01
1971 Nov,All Items,Index,23.787,1971-11-01
1971 Dec,All Items,Index,24.003,1971-12-01
1972 Jan,All Items,Index,24.035,1972-01-01
1972 Feb,All Items,Index,24.026,1972-02-01
1972 Mar,All Items,Index,23.981,1972-03-01
1972 Apr,All Items,Index,23.704,1972-04-01
1972 May,All Items,Index,23.798,1972-05-01
1972 Jun,All Items,Index,23.881,1972-06-01
1972 Jul,All Items,Index,24.025,1972-07-01
1972 Aug,All Items,Index,24.237,1972-08-01
1972 Sep,All Items,Index,24.409,1972-09-01
1972 Oct,All Items,Index,24.372,1972-10-01
1972 Nov,All Items,Index,24.61,1972-11-01
1972 Dec,All Items,Index,25.412,1972-12-01
1973 Jan,All Items,Index,25.338,1973-01-01
1973 Feb,All Items,Index,26.214,1973-02-01
1973 Mar,All Items,Index,26.316,1973-03-01
1973 Apr,All Items,Index,26.486,1973-04-01
1973 May,All Items,Index,27.663,1973-05-01
1973 Jun,All Items,Index,28.59,1973-06-01
1973 Jul,All Items,Index,29.95,1973-07-01
1973 Aug,All Items,Index,30.29,1973-08-01
1973 Sep,All Items,Index,30.296,1973-09-01
1973 Oct,All Items,Index,31.328,1973-10-01
1973 Nov,All Items,Index,32.677,1973-11-01
1973 Dec,All Items,Index,32.33,1973-12-01
1974 Jan,All Items,Index,33.738,1974-01-01
1974 Feb,All Items,Index,34.728,1974-02-01
1974 Mar,All Items,Index,35.333,1974-03-01
1974 Apr,All Items,Index,34.94,1974-04-01
1974 May,All Items,Index,34.964,1974-05-01
1974 Jun,All Items,Index,35.098,1974-06-01
1974 Jul,All Items,Index,35.372,1974-07-01
1974 Aug,All Items,Index,35.612,1974-08-01
1974 Sep,All Items,Index,35.992,1974-09-01
1974 Oct,All Items,Index,36.326,1974-10-01
1974 Nov,All Items,Index,36.407,1974-11-01
1974 Dec,All Items,Index,36.683,1974-12-01
1975 Jan,All Items,Index,36.846,1975-01-01
1975 Feb,All Items,Index,36.919,1975-02-01
1975 Mar,All Items,Index,36.215,1975-03-01
1975 Apr,All Items,Index,35.968,1975-04-01
1975 May,All Items,Index,36.11,1975-05-01
1975 Jun,All Items,Index,36.213,1975-06-01
1975 Jul,All Items,Index,36.31,1975-07-01
1975 Aug,All Items,Index,36.461,1975-08-01
1975 Sep,All Items,Index,36.472,1975-09-01
1975 Oct,All Items,Index,36.114,1975-10-01
1975 Nov,All Items,Index,36.187,1975-11-01
1975 Dec,All Items,Index,36.339,1975-12-01
1976 Jan,All Items,Index,36.327,1976-01-01
1976 Feb,All Items,Index,36.32,1976-02-01
1976 Mar,All Items,Index,35.856,1976-03-01
1976 Apr,All Items,Index,35.508,1976-04-01
1976 May,All Items,Index,35.651,1976-05-01
1976 Jun,All Items,Index,35.468,1976-06-01
1976 Jul,All Items,Index,35.442,1976-07-01
1976 Aug,All Items,Index,35.395,1976-08-01
1976 Sep,All Items,Index,35.331,1976-09-01
1976 Oct,All Items,Index,35.295,1976-10-01
1976 Nov,All Items,Index,35.504,1976-11-01
1976 Dec,All Items,Index,35.785,1976-12-01
1977 Jan,All Items,Index,36.258,1977-01-01
1977 Feb,All Items,Index,36.501,1977-02-01
1977 Mar,All Items,Index,36.255,1977-03-01
1977 Apr,All Items,Index,35.952,1977-04-01
1977 May,All Items,Index,36.239,1977-05-01
1977 Jun,All Items,Index,36.37,1977-06-01
1977 Jul,All Items,Index,36.739,1977-07-01
1977 Aug,All Items,Index,37.29,1977-08-01
1977 Sep,All Items,Index,37.532,1977-09-01
1977 Oct,All Items,Index,37.002,1977-10-01
1977 Nov,All Items,Index,37.311,1977-11-01
1977 Dec,All Items,Index,38.071,1977-12-01
1978 Jan,All Items,Index,37.844,1978-01-01
1978 Feb,All Items,Index,38.102,1978-02-01
1978 Mar,All Items,Index,37.594,1978-03-01
1978 Apr,All Items,Index,37.818,1978-04-01
1978 May,All Items,Index,37.948,1978-05-01
1978 Jun,All Items,Index,38.036,1978-06-01
1978 Jul,All Items,Index,38.493,1978-07-01
1978 Aug,All Items,Index,38.673,1978-08-01
1978 Sep,All Items,Index,38.738,1978-09-01
1978 Oct,All Items,Index,38.598,1978-10-01
1978 Nov,All Items,Index,38.826,1978-11-01
1978 Dec,All Items,Index,38.796,1978-12-01
1979 Jan,All Items,Index,38.822,1979-01-01
1979 Feb,All Items,Index,38.701,1979-02-01
1979 Mar,All Items,Index,38.578,1979-03-01
1979 Apr,All Items,Index,38.753,1979-04-01
1979 May,All Items,Index,39.034,1979-05-01
1979 Jun,All Items,Index,39.137,1979-06-01
1979 Jul,All Items,Index,39.624,1979-07-01
1979 Aug,All Items,Index,40.327,1979-08-01
1979 Sep,All Items,Index,40.963,1979-09-01
1979 Oct,All Items,Index,40.972,1979-10-01
1979 Nov,All Items,Index,41.324,1979-11-01
1979 Dec,All Items,Index,41.633,1979-12-01
1980 Jan,All Items,Index,41.68,1980-01-01
1980 Feb,All Items,Index,42.335,1980-02-01
1980 Mar,All Items,Index,42.787,1980-03-01
