DEATH_AGE,total_deaths,suicide_deaths,suicide_share_pct
10-19,87,22.0,25.28735632183908
20 - 29,223,47.0,21.076233183856502
30 - 39,436,75.0,17.201834862385322
40 - 49,837,42.0,5.017921146953405
50 - 59,1818,37.0,2.0352035203520353
60 - 64,1751,22.0,1.2564249000571102
65 - 69,2621,23.0,0.8775276611980161
70 - 74,3187,15.0,0.4706620646375902
75 - 79,3491,15.0,0.4296763105127471
80 - 84,3880,8.0,0.20618556701030927
85 - 89,3867,4.0,0.10343935867597621
90 and Over,4130,4.0,0.09685230024213075
UNDER 28 DAYS,47,0.0,0.0
1,9,0.0,0.0
5-9,13,0.0,0.0
4,5,0.0,0.0
3,3,0.0,0.0
28 DAYS <1 Year,32,0.0,0.0
2,2,0.0,0.0
Unknown,3,0.0,0.0
