period,series,unit,value
1990,Total Resident Participation Rate,Per Cent,63.2
1991,Total Resident Participation Rate,Per Cent,63.7
1992,Total Resident Participation Rate,Per Cent,63.9
1993,Total Resident Participation Rate,Per Cent,63.4
1994,Total Resident Participation Rate,Per Cent,63.8
1995,Total Resident Participation Rate,Per Cent,61.9
1996,Total Resident Participation Rate,Per Cent,64.1
1997,Total Resident Participation Rate,Per Cent,63.7
1998,Total Resident Participation Rate,Per Cent,63.1
1999,Total Resident Participation Rate,Per Cent,64.1
2000,Total Resident Participation Rate,Per Cent,63.2
2001,Total Resident Participation Rate,Per Cent,64.4
2002,Total Resident Participation Rate,Per Cent,63.6
2003,Total Resident Participation Rate,Per Cent,63.2
2004,Total Resident Participation Rate,Per Cent,63.3
2005,Total Resident Participation Rate,Per Cent,63
2006,Total Resident Participation Rate,Per Cent,65
2007,Total Resident Participation Rate,Per Cent,65
2008,Total Resident Participation Rate,Per Cent,65.6
2009,Total Resident Participation Rate,Per Cent,65.4
2010,Total Resident Participation Rate,Per Cent,66.2
2011,Total Resident Participation Rate,Per Cent,66.1
2012,Total Resident Participation Rate,Per Cent,66.6
2013,Total Resident Participation Rate,Per Cent,66.7
2014,Total Resident Participation Rate,Per Cent,67
2015,Total Resident Participation Rate,Per Cent,68.3
2016,Total Resident Participation Rate,Per Cent,68
2017,Total Resident Participation Rate,Per Cent,67.7
2018,Total Resident Participation Rate,Per Cent,67.7
2019,Total Resident Participation Rate,Per Cent,68
2020,Total Resident Participation Rate,Per Cent,68.1
2021,Total Resident Participation Rate,Per Cent,70.5
2022,Total Resident Participation Rate,Per Cent,70
2023,Total Resident Participation Rate,Per Cent,68.6
2024,Total Resident Participation Rate,Per Cent,68.2
2025,Total Resident Participation Rate,Per Cent,67.9
1990,15 - 19 Years,Per Cent,25.1
1991,15 - 19 Years,Per Cent,28.5
1992,15 - 19 Years,Per Cent,27
1993,15 - 19 Years,Per Cent,23.7
1994,15 - 19 Years,Per Cent,21.6
1995,15 - 19 Years,Per Cent,16.8
1996,15 - 19 Years,Per Cent,18.8
1997,15 - 19 Years,Per Cent,15.5
1998,15 - 19 Years,Per Cent,13.5
1999,15 - 19 Years,Per Cent,16.1
2000,15 - 19 Years,Per Cent,14
2001,15 - 19 Years,Per Cent,15.8
2002,15 - 19 Years,Per Cent,11.9
2003,15 - 19 Years,Per Cent,11.5
2004,15 - 19 Years,Per Cent,12.1
2005,15 - 19 Years,Per Cent,9.8
2006,15 - 19 Years,Per Cent,12.4
2007,15 - 19 Years,Per Cent,13.6
2008,15 - 19 Years,Per Cent,12.8
2009,15 - 19 Years,Per Cent,11.8
2010,15 - 19 Years,Per Cent,15.4
2011,15 - 19 Years,Per Cent,12.3
2012,15 - 19 Years,Per Cent,12.4
2013,15 - 19 Years,Per Cent,11.8
2014,15 - 19 Years,Per Cent,12.3
2015,15 - 19 Years,Per Cent,15.8
2016,15 - 19 Years,Per Cent,15.3
2017,15 - 19 Years,Per Cent,14.2
2018,15 - 19 Years,Per Cent,15.2
2019,15 - 19 Years,Per Cent,15.1
2020,15 - 19 Years,Per Cent,13.8
2021,15 - 19 Years,Per Cent,15.7
2022,15 - 19 Years,Per Cent,15.8
2023,15 - 19 Years,Per Cent,15.7
2024,15 - 19 Years,Per Cent,12.8
2025,15 - 19 Years,Per Cent,13.4
1990,20 - 24 Years,Per Cent,79.1
1991,20 - 24 Years,Per Cent,81
1992,20 - 24 Years,Per Cent,78.8
1993,20 - 24 Years,Per Cent,78.1
1994,20 - 24 Years,Per Cent,76.7
1995,20 - 24 Years,Per Cent,74
1996,20 - 24 Years,Per Cent,74.4
1997,20 - 24 Years,Per Cent,71.7
1998,20 - 24 Years,Per Cent,68.4
1999,20 - 24 Years,Per Cent,70.7
2000,20 - 24 Years,Per Cent,66
2001,20 - 24 Years,Per Cent,68.9
2002,20 - 24 Years,Per Cent,65.2
2003,20 - 24 Years,Per Cent,67.1
2004,20 - 24 Years,Per Cent,66.9
2005,20 - 24 Years,Per Cent,61.7
2006,20 - 24 Years,Per Cent,70.7
2007,20 - 24 Years,Per Cent,66.6
2008,20 - 24 Years,Per Cent,66.5
2009,20 - 24 Years,Per Cent,63.5
2010,20 - 24 Years,Per Cent,65.8
2011,20 - 24 Years,Per Cent,62.8
2012,20 - 24 Years,Per Cent,63.6
2013,20 - 24 Years,Per Cent,61.7
2014,20 - 24 Years,Per Cent,61.8
2015,20 - 24 Years,Per Cent,65.3
2016,20 - 24 Years,Per Cent,62.3
2017,20 - 24 Years,Per Cent,62.2
2018,20 - 24 Years,Per Cent,61.3
2019,20 - 24 Years,Per Cent,61
2020,20 - 24 Years,Per Cent,56
2021,20 - 24 Years,Per Cent,62.4
