period,series,unit,value
1992,Total,Per Cent,0.3
1993,Total,Per Cent,0.3
1994,Total,Per Cent,0.3
1995,Total,Per Cent,0.3
1996,Total,Per Cent,0.4
1997,Total,Per Cent,0.4
1998,Total,Per Cent,0.8
1999,Total,Per Cent,1.2
2000,Total,Per Cent,na
2001,Total,Per Cent,0.9
2002,Total,Per Cent,1.4
2003,Total,Per Cent,1.4
2004,Total,Per Cent,1.3
2005,Total,Per Cent,1
2006,Total,Per Cent,0.7
2007,Total,Per Cent,0.5
2008,Total,Per Cent,0.5
2009,Total,Per Cent,0.9
2010,Total,Per Cent,0.7
2011,Total,Per Cent,0.6
2012,Total,Per Cent,0.6
2013,Total,Per Cent,0.6
2014,Total,Per Cent,0.5
2015,Total,Per Cent,0.6
2016,Total,Per Cent,0.8
2017,Total,Per Cent,0.8
2018,Total,Per Cent,0.7
2019,Total,Per Cent,0.7
2020,Total,Per Cent,1
2021,Total,Per Cent,1
2022,Total,Per Cent,0.7
2023,Total,Per Cent,0.7
2024,Total,Per Cent,0.8
1992,Male,Per Cent,0.3
1993,Male,Per Cent,0.4
1994,Male,Per Cent,0.4
1995,Male,Per Cent,0.3
1996,Male,Per Cent,0.4
1997,Male,Per Cent,0.4
1998,Male,Per Cent,0.9
1999,Male,Per Cent,1.2
2000,Male,Per Cent,na
2001,Male,Per Cent,1.1
2002,Male,Per Cent,1.5
2003,Male,Per Cent,1.6
2004,Male,Per Cent,1.5
2005,Male,Per Cent,1.1
2006,Male,Per Cent,0.8
2007,Male,Per Cent,0.6
2008,Male,Per Cent,0.5
2009,Male,Per Cent,1
2010,Male,Per Cent,0.7
2011,Male,Per Cent,0.6
2012,Male,Per Cent,0.7
2013,Male,Per Cent,0.7
2014,Male,Per Cent,0.6
2015,Male,Per Cent,0.6
2016,Male,Per Cent,0.9
2017,Male,Per Cent,0.9
2018,Male,Per Cent,0.8
2019,Male,Per Cent,0.8
2020,Male,Per Cent,1
2021,Male,Per Cent,1.1
2022,Male,Per Cent,0.7
2023,Male,Per Cent,0.7
2024,Male,Per Cent,0.9
1992,Female,Per Cent,0.3
1993,Female,Per Cent,0.2
1994,Female,Per Cent,0.2
1995,Female,Per Cent,0.3
1996,Female,Per Cent,0.3
1997,Female,Per Cent,0.4
1998,Female,Per Cent,0.6
1999,Female,Per Cent,1.1
2000,Female,Per Cent,na
2001,Female,Per Cent,0.7
2002,Female,Per Cent,1.3
2003,Female,Per Cent,1.2
2004,Female,Per Cent,1
2005,Female,Per Cent,0.9
2006,Female,Per Cent,0.6
2007,Female,Per Cent,0.4
2008,Female,Per Cent,0.5
2009,Female,Per Cent,0.9
2010,Female,Per Cent,0.7
2011,Female,Per Cent,0.5
2012,Female,Per Cent,0.6
2013,Female,Per Cent,0.5
2014,Female,Per Cent,0.5
2015,Female,Per Cent,0.5
2016,Female,Per Cent,0.6
2017,Female,Per Cent,0.7
2018,Female,Per Cent,0.6
2019,Female,Per Cent,0.7
2020,Female,Per Cent,0.9
2021,Female,Per Cent,1
2022,Female,Per Cent,0.6
2023,Female,Per Cent,0.6
2024,Female,Per Cent,0.7
1992,Below 30 Years,Per Cent,0.3
1993,Below 30 Years,Per Cent,0.3
1994,Below 30 Years,Per Cent,0.3
1995,Below 30 Years,Per Cent,0.3
1996,Below 30 Years,Per Cent,0.4
1997,Below 30 Years,Per Cent,0.5
1998,Below 30 Years,Per Cent,0.7
1999,Below 30 Years,Per Cent,1
2000,Below 30 Years,Per Cent,na
2001,Below 30 Years,Per Cent,0.7
2002,Below 30 Years,Per Cent,1.2
2003,Below 30 Years,Per Cent,1.2
2004,Below 30 Years,Per Cent,0.9
2005,Below 30 Years,Per Cent,0.7
2006,Below 30 Years,Per Cent,0.5
2007,Below 30 Years,Per Cent,0.3
2008,Below 30 Years,Per Cent,0.3
2009,Below 30 Years,Per Cent,0.8
2010,Below 30 Years,Per Cent,0.7
2011,Below 30 Years,Per Cent,0.5
2012,Below 30 Years,Per Cent,0.5
2013,Below 30 Years,Per Cent,0.6
2014,Below 30 Years,Per Cent,0.5
2015,Below 30 Years,Per Cent,0.5
2016,Below 30 Years,Per Cent,0.6
2017,Below 30 Years,Per Cent,0.8
2018,Below 30 Years,Per Cent,0.6
2019,Below 30 Years,Per Cent,0.9
2020,Below 30 Years,Per Cent,1.1
2021,Below 30 Years,Per Cent,1
2022,Below 30 Years,Per Cent,0.5
2023,Below 30 Years,Per Cent,0.7
2024,Below 30 Years,Per Cent,1
1992,15 - 24 Years,Per Cent,0.4
1993,15 - 24 Years,Per Cent,0.4
1994,15 - 24 Years,Per Cent,0.3
1995,15 - 24 Years,Per Cent,0.3
