period,series,unit,value
2014,Workplace Fatal Injuries,"Per 100,000 Workers",1.8
2015,Workplace Fatal Injuries,"Per 100,000 Workers",1.9
2016,Workplace Fatal Injuries,"Per 100,000 Workers",1.9
2017,Workplace Fatal Injuries,"Per 100,000 Workers",1.2
2018,Workplace Fatal Injuries,"Per 100,000 Workers",1.2
2019,Workplace Fatal Injuries,"Per 100,000 Workers",1.1
2020,Workplace Fatal Injuries,"Per 100,000 Workers",0.9
2021,Workplace Fatal Injuries,"Per 100,000 Workers",1.1
2022,Workplace Fatal Injuries,"Per 100,000 Workers",1.3
2023,Workplace Fatal Injuries,"Per 100,000 Workers",1
2024,Workplace Fatal Injuries,"Per 100,000 Workers",1.2
2014,Workplace Non-Fatal Injuries,"Per 100,000 Workers",403
2015,Workplace Non-Fatal Injuries,"Per 100,000 Workers",362
2016,Workplace Non-Fatal Injuries,"Per 100,000 Workers",380
2017,Workplace Non-Fatal Injuries,"Per 100,000 Workers",368
2018,Workplace Non-Fatal Injuries,"Per 100,000 Workers",372
2019,Workplace Non-Fatal Injuries,"Per 100,000 Workers",395
2020,Workplace Non-Fatal Injuries,"Per 100,000 Workers",343
2021,Workplace Non-Fatal Injuries,"Per 100,000 Workers",386
2022,Workplace Non-Fatal Injuries,"Per 100,000 Workers",354
2023,Workplace Non-Fatal Injuries,"Per 100,000 Workers",353
2024,Workplace Non-Fatal Injuries,"Per 100,000 Workers",326
2021,Workplace Non-Fatal Injuries [N],"Per 100,000 Workers",672
2022,Workplace Non-Fatal Injuries [N],"Per 100,000 Workers",613
2023,Workplace Non-Fatal Injuries [N],"Per 100,000 Workers",622
2024,Workplace Non-Fatal Injuries [N],"Per 100,000 Workers",600
