period,series,unit,value
1962,All Items,Per Cent,0.4
1963,All Items,Per Cent,2.1
1964,All Items,Per Cent,1.6
1965,All Items,Per Cent,0.2
1966,All Items,Per Cent,2
1967,All Items,Per Cent,3.2
1968,All Items,Per Cent,0.7
1969,All Items,Per Cent,-0.1
1970,All Items,Per Cent,0.3
1971,All Items,Per Cent,1.9
1972,All Items,Per Cent,2.1
1973,All Items,Per Cent,19.6
1974,All Items,Per Cent,22.4
1975,All Items,Per Cent,2.6
1976,All Items,Per Cent,-1.9
1977,All Items,Per Cent,3.2
1978,All Items,Per Cent,4.1
1979,All Items,Per Cent,4
1980,All Items,Per Cent,8.5
1981,All Items,Per Cent,8.2
1982,All Items,Per Cent,3.9
1983,All Items,Per Cent,1
1984,All Items,Per Cent,2.6
1985,All Items,Per Cent,0.5
1986,All Items,Per Cent,-1.4
1987,All Items,Per Cent,0.5
1988,All Items,Per Cent,1.5
1989,All Items,Per Cent,2.3
1990,All Items,Per Cent,3.5
1991,All Items,Per Cent,3.4
1992,All Items,Per Cent,2.2
1993,All Items,Per Cent,2.3
1994,All Items,Per Cent,3.1
1995,All Items,Per Cent,1.7
1996,All Items,Per Cent,1.4
1997,All Items,Per Cent,2
1998,All Items,Per Cent,-0.3
1999,All Items,Per Cent,0
2000,All Items,Per Cent,1.3
2001,All Items,Per Cent,1
2002,All Items,Per Cent,-0.4
2003,All Items,Per Cent,0.5
2004,All Items,Per Cent,1.7
2005,All Items,Per Cent,0.5
2006,All Items,Per Cent,1
2007,All Items,Per Cent,2.1
2008,All Items,Per Cent,6.6
2009,All Items,Per Cent,0.6
2010,All Items,Per Cent,2.8
2011,All Items,Per Cent,5.3
2012,All Items,Per Cent,4.6
2013,All Items,Per Cent,2.4
2014,All Items,Per Cent,1
2015,All Items,Per Cent,-0.5
2016,All Items,Per Cent,-0.5
2017,All Items,Per Cent,0.6
2018,All Items,Per Cent,0.4
2019,All Items,Per Cent,0.6
2020,All Items,Per Cent,-0.2
2021,All Items,Per Cent,2.3
2022,All Items,Per Cent,6.1
2023,All Items,Per Cent,4.8
2024,All Items,Per Cent,2.4
2025,All Items,Per Cent,0.9
1962,Food,Per Cent,0.7
1963,Food,Per Cent,3.7
1964,Food,Per Cent,2.5
1965,Food,Per Cent,-0.5
1966,Food,Per Cent,2.8
1967,Food,Per Cent,4.6
1968,Food,Per Cent,0.2
1969,Food,Per Cent,-1.7
1970,Food,Per Cent,-0.6
1971,Food,Per Cent,2.3
1972,Food,Per Cent,2.5
1973,Food,Per Cent,33.1
1974,Food,Per Cent,25.7
1975,Food,Per Cent,1.1
1976,Food,Per Cent,-6.1
1977,Food,Per Cent,4.9
1978,Food,Per Cent,4.8
1979,Food,Per Cent,2.8
1980,Food,Per Cent,7.7
1981,Food,Per Cent,9.6
1982,Food,Per Cent,5
1983,Food,Per Cent,0.4
1984,Food,Per Cent,1.5
1985,Food,Per Cent,-1.2
1986,Food,Per Cent,-1.5
1987,Food,Per Cent,-0.2
1988,Food,Per Cent,1.4
1989,Food,Per Cent,1.1
1990,Food,Per Cent,0.8
1991,Food,Per Cent,1.6
1992,Food,Per Cent,1.2
1993,Food,Per Cent,1
1994,Food,Per Cent,3.5
1995,Food,Per Cent,2.3
1996,Food,Per Cent,2.1
1997,Food,Per Cent,2
1998,Food,Per Cent,0.2
1999,Food,Per Cent,0.9
2000,Food,Per Cent,0.5
2001,Food,Per Cent,0.5
