period,series,unit,value
1960,Per Capita Gross National Income,Dollar,1334
1961,Per Capita Gross National Income,Dollar,1401
1962,Per Capita Gross National Income,Dollar,1473
1963,Per Capita Gross National Income,Dollar,1603
1964,Per Capita Gross National Income,Dollar,1533
1965,Per Capita Gross National Income,Dollar,1632
1966,Per Capita Gross National Income,Dollar,1790
1967,Per Capita Gross National Income,Dollar,1966
1968,Per Capita Gross National Income,Dollar,2213
1969,Per Capita Gross National Income,Dollar,2529
1970,Per Capita Gross National Income,Dollar,2861
1971,Per Capita Gross National Income,Dollar,3275
1972,Per Capita Gross National Income,Dollar,3848
1973,Per Capita Gross National Income,Dollar,4638
1974,Per Capita Gross National Income,Dollar,5597
1975,Per Capita Gross National Income,Dollar,6122
1976,Per Capita Gross National Income,Dollar,6507
1977,Per Capita Gross National Income,Dollar,6952
1978,Per Capita Gross National Income,Dollar,7773
1979,Per Capita Gross National Income,Dollar,8837
1980,Per Capita Gross National Income,Dollar,10167
1981,Per Capita Gross National Income,Dollar,11294
1982,Per Capita Gross National Income,Dollar,12193
1983,Per Capita Gross National Income,Dollar,13800
1984,Per Capita Gross National Income,Dollar,15177
1985,Per Capita Gross National Income,Dollar,15059
1986,Per Capita Gross National Income,Dollar,14965
1987,Per Capita Gross National Income,Dollar,15986
1988,Per Capita Gross National Income,Dollar,18518
1989,Per Capita Gross National Income,Dollar,20791
1990,Per Capita Gross National Income,Dollar,22901
1991,Per Capita Gross National Income,Dollar,24674
1992,Per Capita Gross National Income,Dollar,26301
1993,Per Capita Gross National Income,Dollar,28929
1994,Per Capita Gross National Income,Dollar,32963
1995,Per Capita Gross National Income,Dollar,35569
1996,Per Capita Gross National Income,Dollar,36724
1997,Per Capita Gross National Income,Dollar,39930
1998,Per Capita Gross National Income,Dollar,37072
1999,Per Capita Gross National Income,Dollar,37363
2000,Per Capita Gross National Income,Dollar,40870
2001,Per Capita Gross National Income,Dollar,38620
2002,Per Capita Gross National Income,Dollar,38890
2003,Per Capita Gross National Income,Dollar,40244
2004,Per Capita Gross National Income,Dollar,43841
2005,Per Capita Gross National Income,Dollar,47046
2006,Per Capita Gross National Income,Dollar,52201
2007,Per Capita Gross National Income,Dollar,57866
2008,Per Capita Gross National Income,Dollar,54524
2009,Per Capita Gross National Income,Dollar,53683
2010,Per Capita Gross National Income,Dollar,63712
2011,Per Capita Gross National Income,Dollar,65454
2012,Per Capita Gross National Income,Dollar,66330
2013,Per Capita Gross National Income,Dollar,67444
2014,Per Capita Gross National Income,Dollar,70400
2015,Per Capita Gross National Income,Dollar,71283
2016,Per Capita Gross National Income,Dollar,74359
2017,Per Capita Gross National Income,Dollar,79340
2018,Per Capita Gross National Income,Dollar,79089
2019,Per Capita Gross National Income,Dollar,79273
2020,Per Capita Gross National Income,Dollar,74665
2021,Per Capita Gross National Income,Dollar,92253
2022,Per Capita Gross National Income,Dollar,101413
2023,Per Capita Gross National Income,Dollar,93476
2024,Per Capita Gross National Income,Dollar,104835
2025,Per Capita Gross National Income,Dollar,107365
1960,Per Capita Gross Domestic Product,Dollar,1310
1961,Per Capita Gross Domestic Product,Dollar,1375
1962,Per Capita Gross Domestic Product,Dollar,1445
1963,Per Capita Gross Domestic Product,Dollar,1565
1964,Per Capita Gross Domestic Product,Dollar,1486
1965,Per Capita Gross Domestic Product,Dollar,1581
1966,Per Capita Gross Domestic Product,Dollar,1735
1967,Per Capita Gross Domestic Product,Dollar,1916
1968,Per Capita Gross Domestic Product,Dollar,2169
1969,Per Capita Gross Domestic Product,Dollar,2488
1970,Per Capita Gross Domestic Product,Dollar,2834
1971,Per Capita Gross Domestic Product,Dollar,3280
1972,Per Capita Gross Domestic Product,Dollar,3857
1973,Per Capita Gross Domestic Product,Dollar,4740
1974,Per Capita Gross Domestic Product,Dollar,5755
1975,Per Capita Gross Domestic Product,Dollar,6068
