period,series,unit,value
2000,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.442
2001,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.454
2002,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.454
2003,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.457
2004,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.46
2005,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.465
2006,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.47
2007,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.482
2008,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.474
2009,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.471
2010,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.472
2011,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.473
2012,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.478
2013,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.463
2014,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.464
2015,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.463
2016,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.458
2017,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.459
2018,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.458
2019,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.452
2020,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.452
2021,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.444
2022,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.437
2023,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.433
2024,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.435
2025,Household Employment Income Per Household Member (Including Employer CPF Contributions),-,0.426
2000,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.414
2001,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.419
2002,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.414
2003,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.422
2004,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.419
2005,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.422
2006,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.418
2007,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.439
2008,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.424
2009,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.422
2010,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.425
2011,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.423
2012,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.432
2013,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.409
2014,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.411
2015,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.409
2016,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.401
2017,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.402
2018,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.403
2019,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.398
2020,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.375
2021,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.385
2022,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.378
2023,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.371
2024,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.364
2025,Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting for Government Transfers and Taxes1/,-,0.359
