period,series,unit,value
2000,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,4400
2001,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,4719
2002,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,4595
2003,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,4617
2004,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,4556
2005,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,4839
2006,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,4957
2007,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,5370
2008,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,6102
2009,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,6012
2010,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,6350
2011,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,7040
2012,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,7570
2013,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,7882
2014,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,8297
2015,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,8673
2016,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,8867
2017,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,9044
2018,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,9315
2019,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,9442
2020,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,9208
2021,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,9544
2022,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,10120
2023,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,10882
2024,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,11314
2025,Median Monthly Household Employment Income Including Employer CPF Contributions,Dollar,12027
