period,series,unit,value
2015,Median Monthly Household Market Income,Dollar,8839
2016,Median Monthly Household Market Income,Dollar,8934
2017,Median Monthly Household Market Income,Dollar,9027
2018,Median Monthly Household Market Income,Dollar,9207
2019,Median Monthly Household Market Income,Dollar,9232
2020,Median Monthly Household Market Income,Dollar,9099
2021,Median Monthly Household Market Income,Dollar,9731
2022,Median Monthly Household Market Income,Dollar,10305
2023,Median Monthly Household Market Income,Dollar,11130
2024,Median Monthly Household Market Income,Dollar,11558
2025,Median Monthly Household Market Income,Dollar,12446
2015,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,8981
2016,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,9092
2017,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,9176
2018,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,9365
2019,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,9393
2020,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,9284
2021,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,9927
2022,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,10547
2023,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,11498
2024,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,11902
2025,Median Monthly Household Market Income (Including Regular Government Contributions),Dollar,12822
2015,Real Change In Median Monthly Household Market Income,Per Cent,-
2016,Real Change In Median Monthly Household Market Income,Per Cent,1.5
2017,Real Change In Median Monthly Household Market Income,Per Cent,0.5
2018,Real Change In Median Monthly Household Market Income,Per Cent,1.6
2019,Real Change In Median Monthly Household Market Income,Per Cent,-0.2
2020,Real Change In Median Monthly Household Market Income,Per Cent,-1.3
2021,Real Change In Median Monthly Household Market Income,Per Cent,4.8
2022,Real Change In Median Monthly Household Market Income,Per Cent,0
2023,Real Change In Median Monthly Household Market Income,Per Cent,3.1
2024,Real Change In Median Monthly Household Market Income,Per Cent,1.3
2025,Real Change In Median Monthly Household Market Income,Per Cent,6.8
2015,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,-
2016,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,1.7
2017,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,0.4
2018,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,1.6
2019,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,-0.2
2020,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,-1
2021,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,4.8
2022,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,0.4
2023,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,4.1
2024,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,1
2025,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions),Per Cent,6.8
2015,Median Monthly Household Market Income Per Household Member,Dollar,2618
2016,Median Monthly Household Market Income Per Household Member,Dollar,2674
2017,Median Monthly Household Market Income Per Household Member,Dollar,2755
2018,Median Monthly Household Market Income Per Household Member,Dollar,2851
2019,Median Monthly Household Market Income Per Household Member,Dollar,2971
2020,Median Monthly Household Market Income Per Household Member,Dollar,2952
2021,Median Monthly Household Market Income Per Household Member,Dollar,3202
2022,Median Monthly Household Market Income Per Household Member,Dollar,3460
2023,Median Monthly Household Market Income Per Household Member,Dollar,3699
2024,Median Monthly Household Market Income Per Household Member,Dollar,3837
2025,Median Monthly Household Market Income Per Household Member,Dollar,4160
2015,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,2667
2016,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,2728
2017,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,2808
2018,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,2910
2019,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3019
2020,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3014
2021,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3262
2022,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3536
2023,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3824
2024,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3962
2025,Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,4317
2015,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,-
2016,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,2.6
2017,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,2.5
2018,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,3.1
2019,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,3.7
2020,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,-0.5
2021,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,6.3
2022,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,2.1
2023,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,2.1
2024,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,1.2
2025,Real Change In Median Monthly Household Market Income Per Household Member,Per Cent,7.5
2015,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,-
2016,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,2.8
2017,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,2.4
2018,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,3.2
2019,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,3.3
2020,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,0
2021,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,6
2022,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,2.4
2023,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,3.3
2024,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,1.1
2025,Real Change In Median Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Per Cent,8
2015,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1184
2016,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1173
2017,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1187
2018,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1214
2019,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1237
2020,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1227
2021,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1426
2022,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1532
2023,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1625
2024,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1702
2025,Monthly Household Market Income Per Household Member At 20th Percentile,Dollar,1883
2015,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1262
2016,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1275
2017,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1288
2018,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1319
2019,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1344
2020,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1350
2021,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1560
2022,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1679
2023,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1834
2024,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,1930
2025,Monthly Household Market Income (Including Regular Government Contributions) Per Household Member At 20th Percentile,Dollar,2124
2015,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,-
2016,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,0.1
2017,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,1.3
2018,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,2
2019,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,1.6
2020,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,-0.7
2021,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,14.3
2022,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,2.3
2023,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,1.7
2024,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,2
2025,Real Change In Monthly Household Market Income Per Household Member At 20th Percentile,Per Cent,10
2015,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,-
2016,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,2.1
2017,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,1.1
2018,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,2.2
2019,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,1.6
2020,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,0.5
2021,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,13.6
2022,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,2.5
2023,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,4.7
2024,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,2.4
2025,Real Change In Monthly Household Market Income (Including Regular Government Contriubutions) Per Household Member At 20th Percentile,Per Cent,9.4
2015,Average Monthly Household Market Income Per Household Member,Dollar,3852
2016,Average Monthly Household Market Income Per Household Member,Dollar,3815
2017,Average Monthly Household Market Income Per Household Member,Dollar,3925
2018,Average Monthly Household Market Income Per Household Member,Dollar,4085
2019,Average Monthly Household Market Income Per Household Member,Dollar,4177
2020,Average Monthly Household Market Income Per Household Member,Dollar,4111
2021,Average Monthly Household Market Income Per Household Member,Dollar,4425
2022,Average Monthly Household Market Income Per Household Member,Dollar,4723
2023,Average Monthly Household Market Income Per Household Member,Dollar,4985
2024,Average Monthly Household Market Income Per Household Member,Dollar,5221
2025,Average Monthly Household Market Income Per Household Member,Dollar,5579
2015,1st Decile (Lowest),Dollar,277
2016,1st Decile (Lowest),Dollar,249
2017,1st Decile (Lowest),Dollar,234
2018,1st Decile (Lowest),Dollar,256
2019,1st Decile (Lowest),Dollar,246
2020,1st Decile (Lowest),Dollar,267
2021,1st Decile (Lowest),Dollar,368
2022,1st Decile (Lowest),Dollar,390
2023,1st Decile (Lowest),Dollar,426
2024,1st Decile (Lowest),Dollar,446
2025,1st Decile (Lowest),Dollar,506
2015,2nd Decile,Dollar,917
2016,2nd Decile,Dollar,898
2017,2nd Decile,Dollar,891
2018,2nd Decile,Dollar,916
2019,2nd Decile,Dollar,920
2020,2nd Decile,Dollar,925
2021,2nd Decile,Dollar,1110
2022,2nd Decile,Dollar,1191
2023,2nd Decile,Dollar,1255
2024,2nd Decile,Dollar,1314
2025,2nd Decile,Dollar,1450
2015,3rd Decile,Dollar,1418
2016,3rd Decile,Dollar,1422
2017,3rd Decile,Dollar,1444
2018,3rd Decile,Dollar,1480
2019,3rd Decile,Dollar,1517
2020,3rd Decile,Dollar,1514
2021,3rd Decile,Dollar,1715
2022,3rd Decile,Dollar,1856
2023,3rd Decile,Dollar,1966
2024,3rd Decile,Dollar,2066
2025,3rd Decile,Dollar,2259
2015,4th Decile,Dollar,1893
2016,4th Decile,Dollar,1902
2017,4th Decile,Dollar,1941
2018,4th Decile,Dollar,2003
2019,4th Decile,Dollar,2075
2020,4th Decile,Dollar,2061
2021,4th Decile,Dollar,2291
2022,4th Decile,Dollar,2462
2023,4th Decile,Dollar,2630
2024,4th Decile,Dollar,2739
2025,4th Decile,Dollar,2977
2015,5th Decile,Dollar,2369
2016,5th Decile,Dollar,2403
2017,5th Decile,Dollar,2464
2018,5th Decile,Dollar,2555
2019,5th Decile,Dollar,2655
2020,5th Decile,Dollar,2637
2021,5th Decile,Dollar,2882
2022,5th Decile,Dollar,3112
2023,5th Decile,Dollar,3324
2024,5th Decile,Dollar,3458
2025,5th Decile,Dollar,3745
2015,6th Decile,Dollar,2922
2016,6th Decile,Dollar,2977
2017,6th Decile,Dollar,3082
2018,6th Decile,Dollar,3185
2019,6th Decile,Dollar,3321
2020,6th Decile,Dollar,3297
2021,6th Decile,Dollar,3559
2022,6th Decile,Dollar,3834
2023,6th Decile,Dollar,4096
2024,6th Decile,Dollar,4262
2025,6th Decile,Dollar,4629
2015,7th Decile,Dollar,3619
2016,7th Decile,Dollar,3696
2017,7th Decile,Dollar,3833
2018,7th Decile,Dollar,3963
2019,7th Decile,Dollar,4155
2020,7th Decile,Dollar,4102
2021,7th Decile,Dollar,4398
2022,7th Decile,Dollar,4721
2023,7th Decile,Dollar,5041
2024,7th Decile,Dollar,5261
2025,7th Decile,Dollar,5672
2015,8th Decile,Dollar,4590
2016,8th Decile,Dollar,4705
2017,8th Decile,Dollar,4874
2018,8th Decile,Dollar,5087
2019,8th Decile,Dollar,5289
2020,8th Decile,Dollar,5208
2021,8th Decile,Dollar,5529
2022,8th Decile,Dollar,5965
2023,8th Decile,Dollar,6346
2024,8th Decile,Dollar,6595
2025,8th Decile,Dollar,7105
2015,9th Decile,Dollar,6295
2016,9th Decile,Dollar,6366
2017,9th Decile,Dollar,6622
2018,9th Decile,Dollar,6955
2019,9th Decile,Dollar,7172
2020,9th Decile,Dollar,7049
2021,9th Decile,Dollar,7505
2022,9th Decile,Dollar,8048
2023,9th Decile,Dollar,8484
2024,9th Decile,Dollar,8833
2025,9th Decile,Dollar,9488
2015,10th Decile (Highest),Dollar,14221
2016,10th Decile (Highest),Dollar,13534
2017,10th Decile (Highest),Dollar,13860
2018,10th Decile (Highest),Dollar,14451
2019,10th Decile (Highest),Dollar,14423
2020,10th Decile (Highest),Dollar,14055
2021,10th Decile (Highest),Dollar,14892
2022,10th Decile (Highest),Dollar,15647
2023,10th Decile (Highest),Dollar,16278
2024,10th Decile (Highest),Dollar,17232
2025,10th Decile (Highest),Dollar,17958
2015,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3905
2016,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3879
2017,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,3992
2018,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,4151
2019,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,4247
2020,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,4188
2021,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,4506
2022,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,4816
2023,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,5121
2024,Average Monthly Household Market Income (Including Regular Government Contributions) Per Household Member,Dollar,5358
