year,marital_status,death_age_group,gender,death_count
2022,SINGLE,15 - 19,F,19
2022,SINGLE,15 - 19,M,26
2022,UNKNOWN,15 - 19,F,1
2022,DIVORCED,20 - 29,F,2
2022,MARRIED,20 - 29,F,3
2022,MARRIED,20 - 29,M,13
2022,SINGLE,20 - 29,F,54
2022,SINGLE,20 - 29,M,160
2022,UNKNOWN,20 - 29,F,2
2022,UNKNOWN,20 - 29,M,5
2022,DIVORCED,30 - 39,F,3
2022,DIVORCED,30 - 39,M,3
2022,MARRIED,30 - 39,F,70
2022,MARRIED,30 - 39,M,118
2022,SINGLE,30 - 39,F,66
2022,SINGLE,30 - 39,M,150
2022,UNKNOWN,30 - 39,F,4
2022,UNKNOWN,30 - 39,M,17
2022,WIDOWED,30 - 39,F,2
2022,DIVORCED,40 - 49,F,12
2022,DIVORCED,40 - 49,M,29
2022,MARRIED,40 - 49,F,188
2022,MARRIED,40 - 49,M,335
2022,SINGLE,40 - 49,F,69
2022,SINGLE,40 - 49,M,164
2022,UNKNOWN,40 - 49,F,10
2022,UNKNOWN,40 - 49,M,21
2022,WIDOWED,40 - 49,F,1
2022,WIDOWED,40 - 49,M,2
2022,DIVORCED,50 - 59,F,26
2022,DIVORCED,50 - 59,M,63
2022,MARRIED,50 - 59,F,484
2022,MARRIED,50 - 59,M,800
2022,SINGLE,50 - 59,F,150
2022,SINGLE,50 - 59,M,316
2022,UNKNOWN,50 - 59,F,19
2022,UNKNOWN,50 - 59,M,36
2022,WIDOWED,50 - 59,F,10
2022,WIDOWED,50 - 59,M,9
2022,DIVORCED,60 - 69,F,48
2022,DIVORCED,60 - 69,M,128
2022,MARRIED,60 - 69,F,1228
2022,MARRIED,60 - 69,M,2178
2022,SINGLE,60 - 69,F,248
2022,SINGLE,60 - 69,M,465
2022,UNKNOWN,60 - 69,F,35
2022,UNKNOWN,60 - 69,M,61
2022,WIDOWED,60 - 69,F,43
2022,WIDOWED,60 - 69,M,27
2022,DIVORCED,70 - 79,F,46
2022,DIVORCED,70 - 79,M,82
2022,MARRIED,70 - 79,F,1914
2022,MARRIED,70 - 79,M,3184
2022,SINGLE,70 - 79,F,238
2022,SINGLE,70 - 79,M,406
2022,UNKNOWN,70 - 79,F,120
2022,UNKNOWN,70 - 79,M,109
2022,WIDOWED,70 - 79,F,171
2022,WIDOWED,70 - 79,M,71
2022,DIVORCED,80 - 89,F,48
2022,DIVORCED,80 - 89,M,63
2022,MARRIED,80 - 89,F,3146
2022,MARRIED,80 - 89,M,3389
2022,SINGLE,80 - 89,F,177
2022,SINGLE,80 - 89,M,225
2022,UNKNOWN,80 - 89,F,238
2022,UNKNOWN,80 - 89,M,210
2022,WIDOWED,80 - 89,F,499
2022,WIDOWED,80 - 89,M,142
2022,DIVORCED,90 AND OVER,F,14
2022,DIVORCED,90 AND OVER,M,9
2022,MARRIED,90 AND OVER,F,2034
2022,MARRIED,90 AND OVER,M,1306
2022,SINGLE,90 AND OVER,F,78
2022,SINGLE,90 AND OVER,M,46
2022,UNKNOWN,90 AND OVER,F,158
2022,UNKNOWN,90 AND OVER,M,66
2022,WIDOWED,90 AND OVER,F,544
