year,condition,percentage_diagnoses
2006,Hyperlipidemia,13.8
2006,Hypertensive Disease,17.2
2006,Acute Upper Respiratory Tract Infection including Influenza,11.9
2006,Diabetes Mellitus,8.6
2007,Hyperlipidemia,14.9
2007,Hypertensive Disease,17.3
2007,Acute Upper Respiratory Tract Infection including Influenza,11.6
2007,Diabetes Mellitus,9
2008,Hyperlipidemia,15.5
2008,Hypertensive Disease,17.2
2008,Acute Upper Respiratory Tract Infection including Influenza,10.8
2008,Diabetes Mellitus,9.1
2009,Hyperlipidemia,15.8
2009,Hypertensive Disease,16.6
2009,Acute Upper Respiratory Tract Infection including Influenza,11.1
2009,Diabetes Mellitus,9.1
2010,Hyperlipidemia,15.6
2010,Hypertensive Disease,15.9
2010,Acute Upper Respiratory Tract Infection including Influenza,11.2
2010,Diabetes Mellitus,8.9
2011,Hyperlipidemia,15.7
2011,Hypertensive Disease,15.7
2011,Acute Upper Respiratory Tract Infection including Influenza,10.6
2011,Diabetes Mellitus,8.8
2012,Hyperlipidemia,16
2012,Hypertensive Disease,15.8
2012,Acute Upper Respiratory Tract Infection including Influenza,10.5
2012,Diabetes Mellitus,8.9
2013,Hyperlipidemia,16.2
2013,Hypertensive Disease,15.9
2013,Acute Upper Respiratory Tract Infection including Influenza,9.6
2013,Diabetes Mellitus,9.1
2014,Hyperlipidemia,16
2014,Hypertensive Disease,15.6
2014,Acute Upper Respiratory Tract Infection including Influenza,9.2
2014,Diabetes Mellitus,9.2
2015,Hyperlipidemia,15.6
2015,Hypertensive Disease,15
2015,Acute Upper Respiratory Tract Infection including Influenza,9.3
2015,Diabetes Mellitus,9.3
2016,Hyperlipidemia,14.9
2016,Hypertensive Disease,14.2
2016,Acute Upper Respiratory Tract Infection including Influenza,9.2
2016,Diabetes Mellitus,9.2
2017,Hyperlipidemia,14.4
2017,Hypertensive Disease,13.7
2017,Acute Upper Respiratory Tract Infection including Influenza,9.2
2017,Diabetes Mellitus,9.2
2018,Hyperlipidemia,13.8
2018,Hypertensive Disease,13.2
2018,Acute Upper Respiratory Tract Infection including Influenza,9.4
2018,Diabetes Mellitus,9
2019,Hyperlipidemia,13.7
2019,Hypertensive Disease,13.3
2019,Diabetes Mellitus,9.1
2019,Acute Upper Respiratory Tract Infection including Influenza,8.6
2020,Hyperlipidemia,15.1
2020,Hypertensive Disease,14.4
2020,Diabetes Mellitus,10.5
2020,Acute Upper Respiratory Tract Infection including Influenza,4.7
2021,Hyperlipidemia,15.2
2021,Hypertensive Disease,14.5
2021,Diabetes Mellitus,10.3
2021,Acute Upper Respiratory Tract Infection including Influenza,3.6
2022,Hyperlipidemia,14.8
2022,Hypertensive Disease,13.7
2022,Diabetes Mellitus,9.8
2022,Acute Upper Respiratory Tract Infection including Influenza,6.6
2023,Hyperlipidemia,14.7
2023,Hypertensive Disease,13.4
2023,Diabetes Mellitus,9.6
2023,Acute Upper Respiratory Tract Infection including Influenza,7.1
2024,Hyperlipidemia,21.4
2024,Hypertensive Disease,19
2024,Diabetes Mellitus,13.8
2024,Acute Upper Respiratory Tract Infection including Influenza,9.6
